Name,Description,Latitude,Longitude
קולוסיאום + פורום + פלטינו,"אטרקציה · רומא · יום 2 · כרטיס בשעה מוזמן מראש",41.8902,12.4922
פנתאון,"אטרקציה · רומא · כניסה חינם",41.8986,12.4769
מזרקת טרווי,"אטרקציה · רומא",41.9009,12.4833
פיאצה נבונה,"אטרקציה · רומא",41.8992,12.4731
גני וילה בורגזה,"אטרקציה · רומא · מגרש משחקים, סירות, אופניים (חלופה רכה ליום 2)",41.9145,12.4920
טרסטוורה,"אטרקציה · רומא · ארוחת ערב",41.8896,12.4694
ארנה די ורונה,"אטרקציה · ורונה · אופציונלי בדרך/בחזרה",45.4390,10.9947
סירמיונה (טירת סקליגרו + Grotte di Catullo),"אטרקציה · אגם גארדה · יום 4 · טירה, חורבות, שייט, שחייה",45.4956,10.6064
גרדהלנד,"אטרקציה · אגם גארדה · יום 5 · שאטל חינם מפסקיירה / חניה חינם",45.4604,10.7174
Parco Natura Viva,"אטרקציה · אגם גארדה · חלופה ליום 5 (ספארי/גן חיות)",45.4717,10.7553
מוזיאון אצי (מומיית הקרח) — בולצאנו,"אטרקציה · בולצאנו · עצירה אופציונלית ביום 6",46.4983,11.3548
רכבל סצ׳דה (תחנה תחתונה),"אטרקציה · אורטיזאי · יום 7",46.5790,11.6680
פסגת סצ׳דה (2500 מ׳),"אטרקציה · סצ׳דה · יום 7 · קר ורוחי, שכבות חמות",46.6075,11.6480
אלפה די סיוזי (Compatsch),"אטרקציה · רמת אלפה די סיוזי",46.5408,11.6175
פארק חבלים Colfosco,"אטרקציה · קולפוסקו/אלטה באדיה · יום 8 · מסלולים לפי גיל; לאמת סגירה 2026",46.5577,11.8800
אגם קרצה (Lago di Carezza),"אטרקציה · יום בחירה 9 · הקפה ~20 דק׳",46.4093,11.5765
סנטה מדלנה / ואל די פונס,"אטרקציה · יום בחירה 9",46.6417,11.7050
עמק וואלונגה (Vallunga) — סלבה,"אטרקציה · יום בחירה 9 · שטוח, מתאים לעגלה",46.5547,11.7600
אגם בראייס (Lago di Braies),"אטרקציה · יום בחירה 9 · ~1.5 ש׳ נסיעה, סירות חתירה",46.6947,12.0855
Passo Gardena (מעבר נופי),"אטרקציה/נוף · בדרך לקולפוסקו (יום 8)",46.5469,11.8163
